,author,text,likes,published_at
224,@breegenafula6325,🤣🤣🤣mulikisha for me,1,2023-02-08T16:05:55Z
225,@judychelangat5269,Kwanza huyu iano ni mcute 😂,0,2023-02-08T00:25:02Z
226,@Jannemma003,"Si iano akuje anitafute Mimi sitamcheza😂😂😂,Anyway pole kwake",1,2023-02-07T19:41:06Z
227,@victornyaga9829,This quavo of a guy will never meet a friend like Ian..Ian was a true friend to him aki I feel for Ian manze and the worst part this quavo is not apologetic,0,2023-02-06T22:08:23Z
228,@victornyaga9829,Hii ndio ile song ya mejja banar,0,2023-02-06T21:58:48Z
229,@jacque21,So WW huna time ya kulalana sio ya vitabu shame on you huyo boy n mpoa Sana hataget niice person huyo Dem n easy go,0,2023-02-06T11:23:21Z
230,@jacque21,Wote n mbaya hata Dem kwanza ndiye problem,0,2023-02-06T10:07:15Z
231,@mtufake852,Angekula wangu nimuue,0,2023-02-06T09:42:08Z
232,@carolynmuthoni9589,Na friendship imeisha tu hivyo,0,2023-02-06T07:03:41Z
233,@mishyyusuf8760,I felt Ian's pain💔💔waaaaah,2,2023-02-05T17:13:44Z
234,@kellypolyfyn6680,I feel for this guy,2,2023-02-04T11:41:17Z
235,@sharonmasindeofficial,Munajifanya amujaona signal ya Pluto 🤣🤣🤣😂😂 Pluto ebu waonyeshe ati ukifanyia quevo aaje amulete kwaset😂 much love baba Zoey bt wasikyana pia tujeshimu kiasi .,1,2023-02-04T10:34:04Z
236,@faithdeborah2822,Sheit I feel his pain😥,0,2023-02-02T13:42:49Z
237,@maximillah2004,😂😂😂😂 waaaah can't believe this,0,2023-02-02T07:15:01Z
238,@muthoninjagi2123,Ghaaai..😭😭Hawa mabeshte,0,2023-01-31T00:40:06Z
239,@mercyjelule3198,5 man,0,2023-01-30T10:04:03Z
240,@Chucks_keedoh,Nafeel huyu msee walai🙌 buh iano ni mature enough no need to fight for someone 🙌 unawaacha tu,0,2023-01-29T21:51:21Z
241,@Chucks_keedoh,Pluto on top hio creativity imeenda shule🔥🙌🙌 jamaa amepatwa red handed kabsa,0,2023-01-29T21:49:55Z
242,@esemekjnr1697,Hadi penye huyo mwengine alisema tuishie...inaumaa😥😥,0,2023-01-29T10:40:09Z
243,@theicon447,Once Thika is mentioned 😂😂just know it's about to go down. 😸😸😹,1,2023-01-28T18:22:07Z
244,@theicon447,Nikikufanyia hivi 😂🤣,0,2023-01-28T18:15:17Z
245,@clarachepngeno9112,Pkuto anafeel kumslab😂😂😂😂😂,0,2023-01-26T20:11:46Z
246,@clarachepngeno9112,Introducing your love to your friend is never good,9,2023-01-26T20:09:50Z
247,@clarachepngeno9112,I feel the pain iano take heart🥰🥰🥰you are handsome cute real man don't worry you'll find your match,17,2023-01-26T20:02:35Z
