author,text,likes,published_at
@wambuimuriuki,Hii video haitaki watu watafikiria sana. So many things don't add up but wakudumu atadumu😂😂😂😂😂😂😂 and whatever else mbogi says,2,2025-08-02T16:19:08Z
@linzykawira1836,Vitu zimenipita lakini sawa,0,2025-08-02T14:58:16Z
@danielwai7088,This Guy is smart😅,1,2025-08-02T14:55:59Z
@bolopeter6779,Congratulations 🎉🎉,0,2025-08-02T14:11:15Z
@MaulineChabedaatonga-f6n,Hello,0,2025-08-02T13:13:01Z
@aishaelias9071,Diana ako protected na mbogi yote 😂,0,2025-08-02T13:02:56Z
@HappyMomemts,Mauongo you can see through Dee this guy has exaggerated almost everything 😂 bt anyway n showbiz,1,2025-08-02T12:12:38Z
@onesmusgichimu-j2e,"Hawa vijana nawatambua sana , ni wasee wafiti sana  mkielewana , but wakiwa jaa  wao uzusha",0,2025-08-02T11:37:14Z
@Salma-ne8en,Kama umetoka tiktok ndio uka fika huyu tupitiane🎉🎉🎉🎉❤❤❤❤,0,2025-08-02T11:06:01Z
@bilaleesaleem7626,"Anaweza rime na Madocho,, Madocho alipoteanga wapi?",0,2025-08-02T10:08:11Z
@MartinMwangi-i4n,Wakudumu,0,2025-08-02T09:24:34Z
@CynyAkoth,"Mechi haingekuw poa, singekuw hapa very lovely ❤",0,2025-08-02T09:17:03Z
@erickmungai-ze3ry,The more you try to understand the more you'll get confused 😂 Partelo,0,2025-08-02T08:43:26Z
@sharonakinyi2120,Tell them how handcaped you are😅😅 patello,0,2025-08-02T08:41:54Z
@lidyaakinyi6427,Dee is so composed❤,0,2025-08-02T08:29:12Z
@JoanAlakonya-n4v,"Mix ya Michele,kebab,watermelon na fish",0,2025-08-02T06:59:36Z
@myqueousoh5647,"Hata sielewi jamaa anasema nini, I have to rewind every time",0,2025-08-02T04:45:48Z
@Cherry-i5b,Dee anakaa hii emoji😊😊 Kumi na nne supuu❤❤😊,1,2025-08-02T04:00:03Z
@danielmunyalo1600,How safe is this huyu mzee amelewa pombe mob ...,1,2025-08-02T03:50:20Z
@danielmunyalo1600,29 years na Mimi hapa nko 32 na Bado nko kijana😂,0,2025-08-02T03:35:57Z
@sarahskylar9326,Dee is the most protected lady in Kenya right now😂😂,0,2025-08-02T02:47:11Z
@Neomiwilson,That mamaa she's in her 40's but i love her she always like😊😊,3,2025-08-02T00:12:31Z
@Casperiankiim,Ndo kufika 😅,0,2025-08-01T23:41:00Z
@violetndavu327,"Congs,wapenzi wetu...Wekeni Mungu Mbele Siku zote🎉",1,2025-08-01T23:08:00Z
@violetndavu327,"Sheng,nazoLov❤ it Gheto Loving...M",1,2025-08-01T23:02:51Z
@Debra-o6o,Sijawai bat like hapa  kwa obina  show  please  leo nikumbuke please,0,2025-08-01T23:00:05Z
